rank,city,state,estimate2019,census2010,change,land_area2016,land_area2016_2,population_density2016,population_density2016_2,lat,long,other
197,Waco,Texas,139236,124805,11.56,89.0 sq mi,230.5 km2,"1,510/sq mi",580/km2,31.5601,-97.18599999999999,Waco)
198,Orange,California,138669,136416,1.6500000000000001,25.4 sq mi,65.8 km2,"5,532/sq mi","2,136/km2",33.787,-117.8613,Orange)
199,Fullerton,California,138632,135161,2.57,22.4 sq mi,58.0 km2,"6,282/sq mi","2,425/km2",33.8857,-117.928,Fullerton)
200,Charleston,South Carolina,137566,120083,14.56,109.0 sq mi,282.3 km2,"1,233/sq mi",476/km2,32.817899999999995,-79.959,Charleston)
201,West Valley City,Utah,135248,129480,4.45,35.5 sq mi,91.9 km2,"3,847/sq mi","1,485/km2",40.688500000000005,-112.01180000000001,West Valley City)
202,Visalia,California,134605,124442,8.17,37.5 sq mi,97.1 km2,"3,495/sq mi","1,349/km2",36.3273,-119.32889999999999,Visalia)
203,Hampton[m],Virginia,134510,137436,2.13,51.5 sq mi,133.4 km2,"2,629/sq mi","1,015/km2",37.048,-76.29710000000001,Hampton)
204,Gainesville,Florida,133997,124354,7.75,62.3 sq mi,161.4 km2,"2,112/sq mi",815/km2,29.678800000000003,-82.3461,Gainesville)
205,Warren,Michigan,133943,134056,0.08,34.4 sq mi,89.1 km2,"3,928/sq mi","1,517/km2",42.492900000000006,-83.02499999999999,Warren)
206,Coral Springs,Florida,133759,121096,10.46,23.8 sq mi,61.6 km2,"5,465/sq mi","2,110/km2",26.270699999999998,-80.2593,Coral Springs)
207,Cedar Rapids,Iowa,133562,126326,5.73,70.8 sq mi,183.4 km2,"1,852/sq mi",715/km2,41.967,-91.67779999999999,Cedar Rapids)
208,Round Rock,Texas,133372,99887,33.52,35.6 sq mi,92.2 km2,"3,396/sq mi","1,311/km2",30.525199999999998,-97.666,Round Rock)
209,Sterling Heights,Michigan,132438,129699,2.11,36.5 sq mi,94.5 km2,"3,628/sq mi","1,401/km2",42.581199999999995,-83.0303,Sterling Heights)
210,Kent,Washington,132319,92411,43.190000000000005,33.7 sq mi,87.3 km2,"3,784/sq mi","1,461/km2",47.388,-122.2127,Kent)
211,Columbia,South Carolina,131674,129272,1.86,133.5 sq mi,345.8 km2,"1,006/sq mi",388/km2,34.02910000000001,-80.898,Columbia)
212,Santa Clara,California,130365,116468,11.93,18.4 sq mi,47.7 km2,"6,845/sq mi","2,643/km2",37.364599999999996,-121.96790000000001,Santa Clara)
213,New Haven,Connecticut,130250,129779,0.36,18.7 sq mi,48.4 km2,"6,948/sq mi","2,683/km2",41.31079999999999,-72.925,New Haven)
214,Stamford,Connecticut,129638,122643,5.7,37.6 sq mi,97.4 km2,"3,434/sq mi","1,326/km2",41.0799,-73.546,Stamford)
215,Concord,California,129295,122067,5.92,30.5 sq mi,79.0 km2,"4,221/sq mi","1,630/km2",37.9722,-122.00160000000001,Concord)
216,Elizabeth,New Jersey,129216,124969,3.4,12.3 sq mi,31.9 km2,"10,459/sq mi","4,038/km2",40.6664,-74.1935,Elizabeth)
217,Athens[y],Georgia,126913,115452,9.93,116.4 sq mi,301.5 km2,"1,060/sq mi",410/km2,33.9496,-83.3701,Athens)
218,Thousand Oaks,California,126813,126683,0.1,55.2 sq mi,143.0 km2,"2,335/sq mi",902/km2,34.19330000000001,-118.8742,Thousand Oaks)
219,Lafayette[z],Louisiana,126185,120623,4.609999999999999,53.8 sq mi,139.3 km2,"2,372/sq mi",916/km2,30.2074,-92.0285,Lafayette)
220,Simi Valley,California,125613,124237,1.11,41.5 sq mi,107.5 km2,"3,044/sq mi","1,175/km2",34.26690000000001,-118.7485,Simi Valley)
221,Topeka,Kansas,125310,127473,1.7,61.5 sq mi,159.3 km2,"2,062/sq mi",796/km2,39.0347,-95.6962,Topeka)
222,Norman,Oklahoma,124880,110925,12.58,178.8 sq mi,463.1 km2,683/sq mi,264/km2,35.2406,-97.3453,Norman)
223,Fargo,North Dakota,124662,105549,18.110000000000003,49.3 sq mi,127.7 km2,"2,450/sq mi",950/km2,46.8652,-96.829,Fargo)
224,Wilmington,North Carolina,123744,106476,16.22,51.6 sq mi,133.6 km2,"2,278/sq mi",880/km2,34.2092,-77.88579999999999,Wilmington)
225,Abilene,Texas,123420,117063,5.430000000000001,106.7 sq mi,276.4 km2,"1,146/sq mi",442/km2,32.454499999999996,-99.7381,Abilene)
226,Odessa,Texas,123334,99940,23.41,45.2 sq mi,117.1 km2,"2,608/sq mi","1,007/km2",31.8838,-102.34110000000001,Odessa)
227,Columbia,Missouri,123195,108500,13.54,65.0 sq mi,168.3 km2,"1,856/sq mi",717/km2,38.95156099999999,-92.32863799999998,Columbia)
228,Pearland,Texas,122460,91252,34.2,46.3 sq mi,119.9 km2,"2,453/sq mi",947/km2,29.5558,-95.3231,Pearland)
229,Victorville,California,122385,115903,5.59,73.3 sq mi,189.8 km2,"1,668/sq mi",644/km2,34.5277,-117.3536,Victorville)
230,Hartford,Connecticut,122105,124775,2.14,17.4 sq mi,45.1 km2,"7,083/sq mi","2,735/km2",41.76590000000001,-72.6816,Hartford)
231,Vallejo,California,121692,115942,4.96,30.7 sq mi,79.5 km2,"3,951/sq mi","1,525/km2",38.1079,-122.26400000000001,Vallejo)
232,Allentown,Pennsylvania,121442,118032,2.8899999999999997,17.5 sq mi,45.3 km2,"6,882/sq mi","2,657/km2",40.5936,-75.4784,Allentown)
233,Berkeley,California,121363,112580,7.8,10.5 sq mi,27.2 km2,"11,547/sq mi","4,458/km2",37.867,-122.29910000000001,Berkeley)
234,Richardson,Texas,121323,99223,22.27,28.6 sq mi,74.1 km2,"3,963/sq mi","1,530/km2",32.972300000000004,-96.7081,Richardson)
235,Arvada,Colorado,121272,106433,13.94,38.6 sq mi,100.0 km2,"3,043/sq mi","1,175/km2",39.8337,-105.15029999999999,Arvada)
236,Ann Arbor,Michigan,119980,113934,5.31,28.1 sq mi,72.8 km2,"4,298/sq mi","1,659/km2",42.27610000000001,-83.7309,Ann Arbor)
237,Rochester,Minnesota,118935,106769,11.39,54.6 sq mi,141.4 km2,"2,088/sq mi",806/km2,44.0154,-92.47720000000001,Rochester)
238,Cambridge,Massachusetts,118927,105162,13.09,6.4 sq mi,16.6 km2,"17,289/sq mi","6,675/km2",42.376,-71.11869999999999,Cambridge)
239,Sugar Land,Texas,118488,78817,50.33,34.0 sq mi,88.1 km2,"3,488/sq mi","1,347/km2",29.5994,-95.61420000000001,Sugar Land)
240,Lansing,Michigan,118210,114297,3.42,39.1 sq mi,101.3 km2,"2,967/sq mi","1,146/km2",42.7143,-84.5593,Lansing)
241,Evansville,Indiana,117979,117429,0.47000000000000003,47.3 sq mi,122.5 km2,"2,526/sq mi",975/km2,37.9877,-87.5347,Evansville)
242,College Station,Texas,117911,93857,25.630000000000003,51.0 sq mi,132.1 km2,"2,199/sq mi",849/km2,30.585199999999997,-96.2964,College Station)
243,Fairfield,California,117133,105321,11.219999999999999,40.9 sq mi,105.9 km2,"2,806/sq mi","1,083/km2",38.2593,-122.0321,Fairfield)
244,Clearwater,Florida,116946,107685,8.6,25.9 sq mi,67.1 km2,"4,415/sq mi","1,705/km2",27.9789,-82.76660000000001,Clearwater)
245,Beaumont,Texas,116825,118296,1.24,82.1 sq mi,212.6 km2,"1,441/sq mi",556/km2,30.0849,-94.14529999999999,Beaumont)
246,Independence,Missouri,116672,116830,0.14,77.8 sq mi,201.5 km2,"1,504/sq mi",581/km2,39.0855,-94.3521,Independence)
247,Provo,Utah,116618,112488,3.67,41.7 sq mi,108.0 km2,"2,803/sq mi","1,082/km2",40.24530000000001,-111.6448,Provo)
